model,data_type,n,p,N_sim,tau,rho,lam,SE,PE,l_inf,FPR,FNR,TPR
Eric,dirichlet,100,100,100,2.5,0.5,35.66,5.845(0.109),176.143(2.169),1.278(0.017),0(0),0.497(0.019),0.503(0.019)
Coda,dirichlet,100,100,100,2.5,0.5,35.66,6.039(0.101),183.637(1.973),1.293(0.016),0(0),0.498(0.019),0.502(0.019)
Eric,dirichlet,100,100,100,2.5,0.5,27.99,4.502(0.105),130.059(1.615),1.126(0.017),0.001(0),0.31(0.018),0.69(0.018)
Coda,dirichlet,100,100,100,2.5,0.5,27.99,4.826(0.099),141.565(1.425),1.156(0.016),0.002(0),0.305(0.017),0.695(0.017)
Eric,dirichlet,100,100,100,2.5,0.5,21.96,3.304(0.094),91.58(1.25),0.971(0.018),0.002(0.001),0.177(0.014),0.823(0.014)
Coda,dirichlet,100,100,100,2.5,0.5,21.96,3.734(0.09),105.854(1.049),1.018(0.017),0.004(0.001),0.178(0.013),0.822(0.013)
Eric,dirichlet,100,100,100,2.5,0.5,17.24,2.32(0.077),62.14(1.037),0.83(0.018),0.006(0.001),0.067(0.01),0.933(0.01)
Coda,dirichlet,100,100,100,2.5,0.5,17.24,2.828(0.077),77.845(0.862),0.897(0.017),0.008(0.001),0.073(0.01),0.927(0.01)
Eric,dirichlet,100,100,100,2.5,0.5,13.53,1.562(0.059),40.583(0.814),0.697(0.017),0.012(0.001),0.025(0.006),0.975(0.006)
Coda,dirichlet,100,100,100,2.5,0.5,13.53,2.113(0.064),56.604(0.711),0.787(0.016),0.018(0.001),0.023(0.006),0.977(0.006)
Eric,dirichlet,100,100,100,2.5,0.5,10.61,1.056(0.045),26.437(0.638),0.587(0.016),0.024(0.002),0.01(0.004),0.99(0.004)
Coda,dirichlet,100,100,100,2.5,0.5,10.61,1.614(0.053),41.738(0.583),0.699(0.016),0.032(0.002),0.01(0.004),0.99(0.004)
